"","x","y","group","logx","logy"
"1",1000,0.389149347941081,"CellSIUS",3,-0.409883692918738
"2",2500,0.725080056985219,"CellSIUS",3.39794000867204,-0.139614039791155
"3",5000,1.24736680189768,"CellSIUS",3.69897000433602,0.0959941813180433
"4",10000,2.44460349480311,"CellSIUS",4,0.388208428292609
"5",15000,3.87704795996348,"CellSIUS",4.17609125905568,0.588501173361779
"6",20000,5.40120138327281,"CellSIUS",4.30102999566398,0.732490370210956
"7",25000,6.45086578925451,"CellSIUS",4.39794000867204,0.809618006458845
"8",30000,8.37219774723053,"CellSIUS",4.47712125471966,0.922839477611799
"9",35000,10.3957546710968,"CellSIUS",4.54406804435028,1.01685602205579
"10",40000,13.3409376382828,"CellSIUS",4.60205999132796,1.12518635407993
"11",45000,15.5388239940008,"CellSIUS",4.65321251377534,1.19141814752524
"12",50000,17.9965465426445,"CellSIUS",4.69897000433602,1.2551891739162
"13",55000,20.0105701088905,"CellSIUS",4.74036268949424,1.30125946203042
"14",60000,24.8368894815445,"CellSIUS",4.77815125038364,1.39509720480614
"15",1000,0.0209991574287415,"FiRE",3,-1.67779813057033
"16",2500,0.0291658043861389,"FiRE",3.39794000867204,-1.53512604132743
"17",5000,0.054820990562439,"FiRE",3.69897000433602,-1.2610531214431
"18",10000,0.115114359060923,"FiRE",4,-0.938870500245332
"19",15000,0.18028507232666,"FiRE",4.17609125905568,-0.744040231539103
"20",20000,0.238741107781728,"FiRE",4.30102999566398,-0.622072795297079
"21",25000,0.321156620979309,"FiRE",4.39794000867204,-0.49328312012306
"22",30000,0.393198152383169,"FiRE",4.47712125471966,-0.405388531561366
"23",35000,0.492048954963684,"FiRE",4.54406804435028,-0.307991686230788
"24",40000,0.538344609737396,"FiRE",4.60205999132796,-0.268939631033154
"25",45000,0.63969095547994,"FiRE",4.65321251377534,-0.19402978968094
"26",50000,0.712394519646962,"FiRE",4.69897000433602,-0.147279430163648
"27",55000,0.758951508998871,"FiRE",4.74036268949424,-0.119785971201966
"28",60000,0.832930076122284,"FiRE",4.77815125038364,-0.0793914557707356
"29",65000,0.969287327925364,"FiRE",4.81291335664286,-0.0135474650178397
"30",68579,1.06390695174535,"FiRE",4.83619114806314,0.0269036466520579
"31",1000,0.0141131718953451,"GapClust",3,-1.85037536882289
"32",2500,0.0173157652219137,"GapClust",3.39794000867204,-1.76155831125797
"33",5000,0.0358986099561055,"GapClust",3.69897000433602,-1.44492236757992
"34",10000,0.0499235471089681,"GapClust",4,-1.30169456525024
"35",15000,0.0736571550369263,"GapClust",4.17609125905568,-1.13278505951892
"36",20000,0.0934679230054219,"GapClust",4.30102999566398,-1.02933740786454
"37",25000,0.108278425534566,"GapClust",4.39794000867204,-0.965458067886951
"38",30000,0.134333678086599,"GapClust",4.47712125471966,-0.871815094005982
"39",35000,0.160736334323883,"GapClust",4.54406804435028,-0.793885940207867
"40",40000,0.172991073131561,"GapClust",4.60205999132796,-0.761976307216474
"41",45000,0.19102000395457,"GapClust",4.65321251377534,-0.718921150280131
"42",50000,0.216493344306946,"GapClust",4.69897000433602,-0.664555450697213
"43",55000,0.23812114795049,"GapClust",4.74036268949424,-0.623202032439108
"44",60000,0.27343016465505,"GapClust",4.77815125038364,-0.563153576013263
"45",65000,0.283308160305023,"GapClust",4.81291335664286,-0.547740916039386
"46",68579,0.307871226469676,"GapClust",4.83619114806314,-0.511630898200962
"47",1000,0.185726789633433,"GiniClust",3,-0.731125448167421
"48",2500,0.41418133576711,"GiniClust",3.39794000867204,-0.382809475592217
"49",5000,0.709898042678833,"GiniClust",3.69897000433602,-0.14880402125499
"50",10000,1.77689766089122,"GiniClust",4,0.249662415655554
"51",15000,3.49486118555069,"GiniClust",4.17609125905568,0.54342993042602
"52",20000,4.54823617537816,"GiniClust",4.30102999566398,0.657843008126602
"53",25000,5.96402000586192,"GiniClust",4.39794000867204,0.775539091591967
"54",30000,7.38858410517375,"GiniClust",4.47712125471966,0.868561221314285
"55",35000,8.96981097062429,"GiniClust",4.54406804435028,0.952783290838985
"56",40000,11.2776391148567,"GiniClust",4.60205999132796,1.05221819302464
"57",45000,15.0304473042488,"GiniClust",4.65321251377534,1.17697190532918
"58",1000,0.505466651916504,"RaceID",3,-0.296307491638533
"59",2500,3.92839776674906,"RaceID",3.39794000867204,0.594215455479012
"60",5000,23.9905125220617,"RaceID",3.69897000433602,1.38003952613063
"61",10000,78.3183238228162,"RaceID",4,1.89386338407737
"62",15000,234.963462670644,"RaceID",4.17609125905568,2.37100033378574
"63",20000,560.661182383696,"RaceID",4.30102999566398,2.7487004885755
"64",25000,915.186138312022,"RaceID",4.39794000867204,2.96150943354227
"65",30000,1131.70943722725,"RaceID",4.47712125471966,3.05373493744688
"66",35000,2782.13219147523,"RaceID",4.54406804435028,3.44437776140884
